Code,Title,Code,Rating,Rating Count
tt5491994,Planet Earth II,tt5491994,9.4,"142,844"
tt0903747,Breaking Bad,tt0903747,9.4,"1,817,275"
tt0795176,Planet Earth,tt0795176,9.4,"208,191"
tt0185906,Band of Brothers,tt0185906,9.4,"460,468"
tt7366338,Chernobyl,tt7366338,9.3,"729,461"
tt0306414,The Wire,tt0306414,9.3,"334,219"
tt6769208,Blue Planet II,tt6769208,9.2,"40,655"
tt0417299,Avatar: The Last Airbender,tt0417299,9.2,"307,797"
tt2395695,Cosmos: A Spacetime Odyssey,tt2395695,9.2,"121,155"
tt0141842,The Sopranos,tt0141842,9.2,"387,781"
tt9253866,Our Planet,tt9253866,9.2,"42,980"
tt0081846,Cosmos,tt0081846,9.2,"40,954"
tt0944947,Game of Thrones,tt0944947,9.1,"2,042,026"
tt2861424,Rick and Morty,tt2861424,9.1,"496,050"
tt0071075,The World at War,tt0071075,9.1,"25,654"
tt1355642,Fullmetal Alchemist: Brotherhood,tt1355642,9.1,"163,075"
tt8420184,The Last Dance,tt8420184,9.0,"118,827"
tt1533395,Life,tt1533395,9.0,"40,832"
tt1475582,Sherlock,tt1475582,9.0,"910,868"
tt0052520,The Twilight Zone,tt0052520,9.0,"82,522"
tt1877514,The Vietnam War,tt1877514,9.0,"24,523"
tt0103359,Batman: The Animated Series,tt0103359,9.0,"102,514"
tt12392504,Scam 1992: The Harshad Mehta Story,tt12392504,9.0,"142,151"
tt11126994,Arcane,tt11126994,8.9,"193,782"
tt0296310,The Blue Planet,tt0296310,8.9,"39,431"
tt2560140,Attack on Titan,tt2560140,8.9,"360,876"
tt0386676,The Office,tt0386676,8.9,"574,046"
tt0303461,Firefly,tt0303461,8.9,"263,405"
tt1806234,Human Planet,tt1806234,8.9,"26,288"
tt2092588,Frozen Planet,tt2092588,8.9,"30,402"
tt0877057,Death Note,tt0877057,8.9,"314,363"
tt0081912,Only Fools and Horses,tt0081912,8.9,"51,416"
tt2356777,True Detective,tt2356777,8.9,"560,440"
tt0098769,The Civil War,tt0098769,8.9,"16,440"
