,Code,Title,Rating Count,Rating
0,tt0043208,I Love Lucy,"26,622",8.4
1,tt0047708,Alfred Hitchcock Presents,"17,289",8.4
2,tt0052520,The Twilight Zone,"82,522",9.0
3,tt0053488,The Bugs Bunny Show,"33,731",8.5
4,tt0063929,Monty Python's Flying Circus,"73,954",8.8
5,tt0071075,The World at War,"25,654",9.1
6,tt0072500,Fawlty Towers,"92,690",8.8
7,tt0074006,"I, Claudius","17,516",8.7
8,tt0080306,Yes Minister,"14,817",8.5
9,tt0081834,Das Boot,"30,069",8.8
10,tt0081846,Cosmos,"40,954",9.2
11,tt0081912,Only Fools and Horses,"51,416",8.9
12,tt0086661,The Adventures of Sherlock Holmes,"22,217",8.6
13,tt0086831,"Yes, Prime Minister","11,536",8.5
14,tt0088484,Blackadder II,"46,590",8.6
15,tt0088509,Dragon Ball,"56,996",8.5
16,tt0090509,The Return of Sherlock Holmes,"12,206",8.5
17,tt0092324,Blackadder the Third,"44,149",8.6
18,tt0092337,Dekalog,"25,588",8.9
19,tt0092455,Star Trek: The Next Generation,"119,239",8.6
20,tt0094517,Mystery Science Theater 3000,"24,617",8.6
21,tt0094525,Poirot,"45,192",8.5
22,tt0096548,Blackadder Goes Forth,"52,715",8.7
23,tt0096639,Lonesome Dove,"23,184",8.6
24,tt0096657,Mr. Bean,"118,606",8.5
25,tt0096697,The Simpsons,"401,921",8.7
26,tt0098769,The Civil War,"16,440",8.9
27,tt0098904,Seinfeld,"312,732",8.9
28,tt0098936,Twin Peaks,"195,663",8.7
29,tt0103359,Batman: The Animated Series,"102,514",9.0
30,tt0103584,X-Men: The Animated Series,"43,087",8.4
31,tt0106028,Homicide: Life on the Street,"12,799",8.5
32,tt0106179,The X-Files,"222,680",8.6
33,tt0108778,Friends,"975,688",8.8
34,tt0111958,Father Ted,"40,283",8.6
35,tt0112130,Pride and Prejudice,"84,485",8.8
36,tt0112159,Neon Genesis Evangelion,"67,999",8.5
37,tt0118273,Brass Eye,"10,784",8.5
38,tt0118421,Oz,"98,782",8.7
39,tt0120570,From the Earth to the Moon,"12,261",8.5
40,tt0121220,Dragon Ball Z,"79,127",8.7
41,tt0121955,South Park,"365,507",8.7
42,tt0129690,I'm Alan Partridge,"20,577",8.5
43,tt0141842,The Sopranos,"387,781",9.2
44,tt0149460,Futurama,"235,095",8.5
45,tt0158417,Mahabharat,"18,419",8.6
46,tt0163507,Whose Line Is It Anyway?,"43,558",8.5
47,tt0185906,Band of Brothers,"460,468",9.4
